COMPOUND	COMPOUND_NAME	SMILES
707473	5-(4-BENZYLOXYPHENYL)-3-(2-CYANOETHYL)-(3H)-1,3,4-OXADIAZOL-2-ONE	O=c1oc(nn1CCC#N)c2ccc(OCc3ccccc3)cc2
707474	ICI 185,282	OC(=O)CCCC=CCC1COC(OC1c2ccccc2O)C(F)(F)F
707475	5-CHLOROINDOLE-2-CARBOXYLIC ACID	OC(=O)c1cc2cc(Cl)ccc2[nH]1
707476	5-FLUOROINDOLE-2-CARBOXYLIC ACID	OC(=O)c1cc2cc(F)ccc2[nH]1
700984	[SAR1, D-PHE8, DES-ARG9]-BRADYKININ	CNCC(=O)N1CCCC1C(=O)N2CCCC2C(=O)NCC(=O)NC(Cc3ccccc3)C(=O)NC(CO)C(=O)N4CCCC4C(=O)NC(Cc5ccccc5)C(=O)O
700996	ERGOCORNINE	CC(C)C1N2C(=O)C(NC(=O)C3CN(C)C4Cc5c[nH]c6cccc(C4=C3)c56)(OC2(O)C7CCCN7C1=O)C(C)C
700997	ERGOCRISTINE	CC(C)C1(NC(=O)C2CN(C)C3Cc4c[nH]c5cccc(C3=C2)c45)OC6(O)C7CCCN7C(=O)C(Cc8ccccc8)N6C1=O
701007	ERGOSTINE	CCC1(NC(=O)C2CN(C)C3Cc4c[nH]c5cccc(C3=C2)c45)OC6(O)C7CCCN7C(=O)C(Cc8ccccc8)N6C1=O
701016	BETA-ERGOCRYPTINE	CCC(C)C1N2C(=O)C(NC(=O)C3CN(C)C4Cc5c[nH]c6cccc(C4=C3)c56)(OC2(O)C7CCCN7C1=O)C(C)C
701020	(D-SER2)-LEU-ENKEPHALIN-THR	CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(CO)NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NC(C(C)O)C(=O)O
701023	Y-27632	CC(N)C1CCC(CC1)C(=O)Nc2ccncc2
701038	2-[5-(2,6-DIMETHOXYPHENYL)-1-[4-[N-[3-(DIMETHYLAMINO)PROPYL]-N-METHYLCARBAMOYL]-2-ISOPROPYLPHENYL]PYRAZOL-3-YLCARBOXAMIDO]ADAMANTANE-2-CARBOXYLIC ACID	COc1cccc(OC)c1c2cc(nn2c3ccc(cc3C(C)C)C(=O)N(C)CCCN(C)C)C(=O)NC4(C5CC6CC(C5)CC4C6)C(=O)O
707504	ACETAZOLAMIDE	CC(=O)Nc1nnc(s1)S(=O)(=O)N
707505	ACETOHEXAMIDE	CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2
707506	D/L -ACETYL-CARNITINE	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
707507	ACETYLCHOLINE CHLORIDE	[Cl-].CC(=O)OCC[N+](C)(C)C
707508	ACITRETIN	COc1cc(C)c(C=CC(=CC=CC(=CC(=O)O)C)C)c(C)c1C
707509	ADAPALENE	COc1ccc(cc1C2(CC3CC4CC(C3)C2)C4)c5ccc6cc(ccc6c5)C(=O)O
707512	TYRPHOSTIN AG 370	NC(=C(C#N)C#N)C(=Cc1ccc2[nH]ccc2c1)C#N
707513	TYRPHOSTIN AG 490	Oc1ccc(C=C(C#N)C(=O)NCc2ccccc2)cc1O
707514	AGMATINE SULFATE	NCCCCNC(=N)N
707515	AGOMELATINE	COc1ccc2cccc(CCNC(=O)C)c2c1
700583	NOCICEPTIN	CC(C)CC(NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)CNC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc2ccccc2)C(C)O)C(=O)NC(C)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)O
700601	OCTREOTIDE	CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc3ccccc3)C(=O)NC(Cc4c[nH]c5ccccc45)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1
700617	OUABAIN	CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)C(O)C(O)C1O
700629	OXYTOCIN	CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC1=O)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N
602133	ICX5600092	CCCCCCCCCCCC(=O)c1c(C)c(CC(=O)O)n(CCCCCCCC(=O)O)c1C
602138	ICX5600097	CCN(CC)C(=O)c1[nH]c2CC3(CCN(CC)CC3Cc2c1C)c4cccc(O)c4
602142	ICX5600101	CCCCCc1cc(O)c2C3CC(=CCC3C(C)(C)Oc2c1)CO
602154	ICX5600113	CC12CCC3C(CCC4=CC(=O)CCC34C)C2CC=C1c5c[nH]cn5
602163	ICX5600122	Oc1ccc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(O)c2)cc1O
602173	ICX5600132	CCCN(CCC)C(=O)Cc1c(nc2ccc(Cl)cn12)c3ccccc3
602185	ICX5600144	NC(=N)c1ccc2c(n[nH]c2c1)C(=O)NCCCCCCC(=O)O
602239	ICX5600155	Oc1ccc2C3C(Cc2c1)c4ccc(O)cc4OC3=O
602244	BENZO[A]PYRENE	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
602285	FENOFIBRATE	CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2
602132	ICX5600091	CCCCCCCCCCCCCCCCCC(=O)c1c(C)c(CCC(=O)O)n(C)c1C
602134	ICX5600093	COC1C(O)C(O)C(OC1CO)n2c3ccccc3c4c5C(=O)N(C)C(=O)c5c6c7ccccc7[nH]c6c24
602135	ICX5600094	CC12CCC3C(CCC4CC(O)CCC43C)C2(O)CCC1CNN=C(N)N
602136	ICX5600095	COc1cccc2C3CN(CCn4c(=O)[nH]c5c6ncccc6sc5c4=O)CC3CCc12
602137	ICX5600096	CCN1CCC2(Cc3[nH]c4ccccc4c3CC2C1)c5cccc(O)c5
602144	ICX5600103	CCCN1C(=O)N2CCN=C2c3ncn(CCC)c13
602146	ICX5600105	CC12CCC3C(CC(CC#C)C4=CC(=O)CCC34C)C2CCC1=O
602152	ICX5600111	CC(N(O)C(=O)c1ccccc1c2ccccc2C(=O)O)c3ccc4oc(cc4c3)c5ccccc5
602156	ICX5600115	CCCCCc1cc2OC(C)(C)C3CCC(O)CC3c2c4OCCCc14
700177	FK-888	CN(Cc1ccccc1)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)C4CC(O)CN4C(=O)c5cn(C)c6ccccc56
700187	FLUOROURACIL	Fc1c[nH]c(=O)[nH]c1=O
700193	FLURITHROMYCIN	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(O)CC(C)(F)C(=O)C(C)C(O)C1(C)O
700201	FOMIVIRSEN	Cc1cn(C2CC(OP(=O)(S)OCC3OC(CC3OP(=O)(S)OCC4OC(CC4OP(=O)(S)OCC5OC(CC5OP(=O)(S)OC6CC(OC6COP(=O)(S)OCC7OC(CC7OP(=O)(S)OCC8OC(CC8O)n9cnc%10c(=O)[nH]c(N)nc9%10)n%11ccc(N)nc%11=O)n%12cnc%13c(=O)[nH]c(N)nc%12%13)n%14cc(C)c(=O)[nH]c%14=O)n%15cc(C)c(=O)[nH]c%15=O)n%16ccc(N)nc%16=O)C(CO)O2)c(=O)[nH]c1=O
700219	GALANIN (1-13)-SUBSTANCE P (5-11) AMIDE	CSCCC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc2ccccc2)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C3CCCN3C(=O)CNC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc4ccc(O)cc4)NC(=O)CNC(=O)C(C)NC(=O)C(CO)NC(=O)C(CC(=O)N)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(Cc5c[nH]c6ccccc56)NC(=O)CN)C(C)O)C(=O)N
602253	INDOMETHACIN	COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1
602256	KETOCONAZOLE	CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
602259	METYRAPONE	CC(C)(C(=O)c1cccnc1)c2cccnc2
602261	S-(N-BENZYLTHIOCARBAMOYL)-L-CYSTEINE	NC(CSC(=S)NCc1ccccc1)C(=O)O
602265	ZAPRINAST	CCCOc1ccccc1c2nc(=O)c3[nH]nnc3[nH]2
602270	METHOTREXATE	CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O
602275	DEXCHLORPHENIRAMINE	CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2
602311	CIGLITAZONE	CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
602314	ANISOMYCIN	COc1ccc(CC2NCC(O)C2OC(=O)C)cc1
471457	ICX5600024	OC1CCN(CC1)C2(CCCCC2)c3cc4ccccc4s3
471458	ICX5600025	OC1CCCN(C1)C2(CCCCC2)c3cc4ccccc4s3
471460	ICX5600027	Clc1ccc(OCCNCCCOc2ccccc2)cc1
471461	ICX5600028	Cc1ccc(OCCNCCCSc2ccccc2)cc1
471462	ICX5600029	Nc1cccc(CN2C(Cc3ccccc3)C(O)C(O)C(Cc4ccccc4)N(Cc5cccc(N)c5)C2=O)c1
471463	ICX5600030	Nc1cccc(CN2C(Cc3ccccc3)C(O)C(O)C(Cc4ccccc4)N(C(=O)Nc5ncc[nH]5)C2=O)c1
602325	ECONAZOLE	Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
602327	PREDNISONE	CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO
602328	KETOPROFEN	CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2
602330	MICONAZOLE	Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
602332	METHOXSALEN	COc1c2occc2cc3ccc(=O)oc13
602335	DEXIBUPROFEN	CC(C)Cc1ccc(cc1)C(C)C(=O)O
602336	(-)-THALIDOMIDE	O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
602337	(+)-THALIDOMIDE	O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
402	ALBENDAZOLE	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
602346	BUDESONIDE	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
